Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,SQ_INSTS_MMOP,SQ_ACTIVE_INST_MMOP,SQ_INSTS_VALU,SQ_ACTIVE_INST_VALU,SQ_WAVES,DispatchNs,BeginNs,EndNs,CompleteNs
207,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,331,465403,465403,49152,128,16384,0,100,0,80,64,0x0,0x7f101fde0940,36864,73728,774144,866304,768,2875298828326150,2875298828991362,2875298829018402,2875298829020476
208,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,332,465403,465403,49152,128,16384,0,100,0,80,64,0x0,0x7f101fde0940,36864,73728,774144,866304,768,2875298829082936,2875298829749601,2875298829777921,2875298829780533
209,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,333,465403,465403,49152,128,16384,0,100,0,80,64,0x0,0x7f101fde0940,36864,73728,774144,866304,768,2875298829839683,2875298830498721,2875298830527041,2875298830529560
210,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,334,465403,465403,49152,128,16384,0,100,0,80,64,0x0,0x7f101fde0940,36864,73728,774144,866304,768,2875298830591230,2875298831230560,2875298831258400,2875298831260826
211,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,335,465403,465403,49152,128,16384,0,100,0,80,64,0x0,0x7f101fde0940,36864,73728,774144,866304,768,2875298831321727,2875298831978399,2875298832006399,2875298832008283
212,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,336,465403,465403,49152,128,16384,0,100,0,80,64,0x0,0x7f101fde0940,36864,73728,774144,866304,768,2875298832070194,2875298832737599,2875298832765759,2875298832768210
213,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,337,465403,465403,49152,128,16384,0,100,0,80,64,0x0,0x7f101fde0940,36864,73728,774144,866304,768,2875298832829221,2875298833479998,2875298833507998,2875298833510417
214,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,338,465403,465403,49152,128,16384,0,100,0,80,64,0x0,0x7f101fde0940,36864,73728,774144,866304,768,2875298833571917,2875298834210877,2875298834238557,2875298834240954
215,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,339,465403,465403,49152,128,16384,0,100,0,80,64,0x0,0x7f101fde0940,36864,73728,774144,866304,768,2875298834301284,2875298834957597,2875298834985597,2875298834987730
216,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,340,465403,465403,49152,128,16384,0,100,0,80,64,0x0,0x7f101fde0940,36864,73728,774144,866304,768,2875298835049831,2875298835715036,2875298835742716,2875298835745137
218,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,343,465403,465403,49152,128,16384,0,100,0,80,64,0x0,0x7f101fde0940,36864,73728,774144,866304,768,2875298835924829,2875298836493915,2875298836526395,2875298836534655
220,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,347,465403,465403,49152,128,16384,0,100,0,80,64,0x0,0x7f101fde0940,36864,73728,774144,866304,768,2875298836878578,2875298837406555,2875298837434075,2875298837435873
222,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,351,465403,465403,49152,128,16384,0,100,0,80,64,0x0,0x7f101fde0940,36864,73728,774144,866304,768,2875298837781616,2875298838299994,2875298838326874,2875298838328861
224,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,355,465403,465403,49152,128,16384,0,100,0,80,64,0x0,0x7f101fde0940,36864,73728,774144,866304,768,2875298838669904,2875298839193753,2875298839220153,2875298839222069
226,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,359,465403,465403,49152,128,16384,0,100,0,80,64,0x0,0x7f101fde0940,36864,73728,774144,866304,768,2875298839563292,2875298840086232,2875298840112792,2875298840114727
228,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,363,465403,465403,49152,128,16384,0,100,0,80,64,0x0,0x7f101fde0940,36864,73728,774144,866304,768,2875298840466281,2875298840985752,2875298841012312,2875298841014175
